iter	Passed	Remaining
232	1437	4731
233	1441	4719
234	1447	4710
235	1451	4697
236	1455	4686
237	1461	4679
238	1466	4670
239	1472	4661
240	1477	4654
241	1482	4643
242	1487	4632
243	1492	4625
244	1497	4614
245	1502	4606
246	1508	4597
247	1512	4585
248	1515	4572
249	1521	4563
250	1524	4550
251	1529	4538
252	1533	4527
253	1539	4521
254	1543	4510
255	1547	4498
256	1552	4488
257	1556	4477
258	1561	4466
259	1565	4455
260	1568	4441
261	1573	4432
262	1578	4422
263	1582	4411
264	1586	4401
265	1590	4390
266	1595	4379
267	1599	4367
268	1603	4357
269	1607	4345
270	1610	4331
271	1612	4316
272	1615	4303
273	1619	4291
274	1623	4280
275	1626	4267
276	1629	4253
277	1633	4241
278	1636	4229
279	1639	4215
280	1643	4204
281	1646	4192
282	1649	4177
283	1652	4165
284	1655	4152
285	1658	4140
286	1661	4127
287	1665	4116
288	1668	4105
289	1671	4093
290	1675	4081
291	1678	4069
292	1682	4059
293	1685	4047
294	1688	4035
295	1691	4024
296	1695	4013
297	1698	4001
298	1702	3990
299	1705	3978
300	1708	3966
301	1711	3955
302	1714	3943
303	1717	3932
304	1721	3921
305	1724	3911
306	1728	3901
307	1731	3889
308	1734	3877
309	1737	3866
310	1757	3893
311	1763	3888
312	1769	3883
313	1775	3878
314	1780	3872
315	1803	3903
316	1809	3898
317	1817	3897
318	1823	3893
319	1830	3889
320	1837	3886
321	1843	3882
322	1848	3875
323	1854	3869
324	1861	3865
325	1866	3858
326	1871	3852
327	1878	3848
328	1883	3841
329	1888	3834
330	1893	3826
331	1900	3824
332	1905	3816
333	1910	3809
334	1914	3801
335	1919	3793
336	1924	3786
337	1929	3779
338	1933	3770
339	1937	3761
340	1942	3754
341	1946	3745
342	1951	3737
343	1955	3729
344	1960	3722
345	1964	3714
346	1968	3703
347	1972	3695
348	1976	3685
349	1998	3711
350	2004	3706
351	2011	3702
352	2017	3697
353	2023	3693
354	2029	3686
355	2034	3680
356	2039	3674
357	2045	3668
358	2050	3660
359	2056	3656
360	2061	3649
361	2067	3644
362	2073	3638
363	2079	3633
364	2086	3630
365	2091	3623
366	2099	3621
367	2105	3615
368	2111	3611
369	2117	3605
370	2123	3600
371	2130	3595
372	2143	3603
373	2148	3596
374	2153	3589
375	2157	3579
376	2174	3593
377	2180	3587
378	2185	3581
379	2190	3573
380	2195	3566
381	2199	3558
382	2204	3550
383	2207	3541
384	2210	3531
385	2213	3521
386	2217	3512
387	2220	3502
388	2223	3492
389	2226	3482
390	2229	3471
391	2232	3462
392	2234	3452
393	2238	3442
394	2241	3432
395	2244	3422
396	2247	3413
397	2250	3404
398	2253	3395
399	2257	3385
400	2260	3376
401	2263	3367
402	2266	3358
403	2270	3350
404	2273	3340
405	2277	3331
406	2280	3322
407	2282	3312
408	2286	3304
409	2289	3295
410	2292	3286
411	2295	3276
412	2298	3266
413	2302	3259
414	2305	3250
415	2308	3240
416	2311	3231
417	2314	3222
418	2317	3212
419	2319	3203
420	2322	3194
421	2325	3184
422	2328	3176
423	2332	3168
424	2335	3159
425	2338	3150
426	2340	3141
427	2343	3132
428	2363	3146
429	2367	3138
430	2371	3130
431	2376	3124
432	2381	3118
433	2387	3113
434	2393	3109
435	2399	3103
436	2404	3097
437	2411	3094
438	2416	3087
439	2421	3081
440	2425	3074
441	2430	3068
442	2434	3060
443	2437	3052
444	2441	3045
445	2444	3036
446	2448	3028
447	2451	3020
448	2468	3029
449	2471	3020
450	2474	3012
451	2477	3004
452	2480	2995
453	2483	2986
454	2486	2978
455	2489	2970
456	2492	2961
457	2496	2954
458	2500	2946
459	2503	2938
460	2507	2931
461	2512	2925
462	2516	2918
463	2519	2910
464	2523	2903
465	2542	2913
466	2545	2905
467	2548	2896
468	2551	2888
469	2553	2879
470	2556	2871
471	2559	2863
472	2563	2855
473	2565	2846
474	2567	2838
475	2571	2831
476	2588	2838
477	2591	2830
478	2594	2822
479	2597	2813
480	2600	2805
481	2603	2797
482	2605	2788
483	2608	2780
484	2610	2772
485	2613	2764
486	2617	2756
487	2620	2749
488	2623	2741
489	2626	2733
490	2630	2726
491	2634	2719
492	2637	2712
493	2640	2704
494	2643	2696
495	2646	2689
496	2649	2681
497	2653	2674
498	2665	2675
499	2668	2668
500	2671	2660
501	2684	2663
502	2690	2658
503	2695	2652
504	2699	2646
505	2704	2640
506	2708	2634
507	2713	2628
508	2717	2621
509	2723	2617
510	2728	2611
511	2733	2605
512	2737	2599
513	2742	2592
514	2764	2603
515	2769	2598
516	2776	2594
517	2783	2590
518	2790	2585
519	2795	2580
520	2801	2575
521	2807	2571
522	2813	2565
523	2819	2560
524	2823	2554
525	2829	2549
526	2834	2543
527	2840	2539
528	2845	2533
529	2849	2527
530	2855	2522
531	2861	2516
532	2866	2511
533	2871	2505
534	2877	2500
535	2881	2494
536	2885	2488
537	2891	2482
538	2896	2477
539	2901	2471
540	2905	2465
541	2910	2459
542	2914	2453
543	2920	2447
544	2925	2442
545	2930	2436
546	2934	2430
547	2938	2423
548	2942	2417
549	2947	2411
550	2952	2405
551	2956	2399
552	2977	2406
553	2983	2401
554	2989	2397
555	2995	2391
556	3000	2386
557	3005	2380
558	3011	2375
559	3016	2369
560	3023	2365
561	3028	2360
562	3034	2355
563	3039	2349
564	3044	2343
565	3050	2338
566	3055	2333
567	3061	2328
568	3067	2323
569	3072	2318
570	3078	2312
571	3083	2307
572	3086	2300
573	3091	2294
574	3095	2287
575	3100	2282
576	3105	2276
577	3109	2270
578	3114	2264
579	3120	2259
580	3125	2253
581	3130	2248
582	3135	2242
583	3139	2236
584	3144	2230
585	3150	2225
586	3155	2220
587	3159	2213
588	3163	2207
589	3167	2201
590	3170	2194
591	3175	2188
592	3178	2181
593	3183	2175
594	3187	2169
595	3191	2163
596	3195	2157
597	3217	2162
598	3223	2158
599	3230	2153
600	3236	2148
601	3242	2143
602	3250	2140
603	3259	2136
604	3267	2133
605	3276	2130
606	3282	2125
607	3289	2120
608	3294	2115
609	3301	2110
610	3305	2104
611	3310	2098
612	3314	2092
613	3317	2085
614	3320	2078
615	3323	2071
616	3327	2065
617	3330	2058
618	3335	2052
619	3339	2046
620	3342	2039
621	3345	2033
622	3348	2026
623	3352	2019
624	3355	2013
625	3358	2006
626	3361	1999
627	3364	1992
628	3368	1986
629	3371	1979
630	3374	1973
631	3376	1966
632	3379	1959
633	3381	1952
634	3385	1945
635	3388	1939
636	3391	1932
637	3394	1925
638	3397	1919
639	3400	1912
640	3403	1906
641	3406	1899
642	3409	1893
643	3412	1886
644	3415	1879
645	3419	1873
646	3422	1867
647	3425	1860
648	3427	1853
649	3430	1847
650	3434	1841
651	3437	1834
652	3440	1828
653	3443	1821
654	3445	1814
655	3448	1808
656	3451	1802
657	3454	1795
658	3457	1788
659	3459	1782
660	3463	1776
661	3465	1769
662	3468	1763
663	3471	1756
664	3478	1752
665	3481	1746
666	3484	1739
667	3493	1736
668	3496	1730
669	3499	1723
670	3502	1717
671	3505	1711
672	3508	1704
673	3511	1698
674	3514	1692
675	3517	1685
676	3521	1680
677	3538	1680
678	3551	1679
679	3555	1673
680	3559	1667
681	3563	1661
682	3567	1655
683	3570	1649
684	3573	1643
685	3576	1637
686	3579	1630
687	3582	1624
688	3585	1618
689	3587	1611
690	3590	1605
691	3592	1599
692	3596	1593
693	3610	1591
694	3615	1586
695	3620	1581
696	3643	1583
697	3648	1578
698	3654	1573
699	3662	1569
700	3667	1564
701	3673	1559
702	3680	1554
703	3688	1550
704	3693	1545
705	3698	1540
706	3704	1535
707	3710	1530
708	3714	1524
709	3730	1523
710	3734	1517
711	3738	1512
712	3741	1506
713	3745	1500
714	3747	1493
715	3750	1487
716	3753	1481
717	3756	1475
718	3759	1469
719	3762	1463
720	3766	1457
721	3769	1451
722	3772	1445
723	3776	1439
724	3779	1433
725	3782	1427
726	3787	1422
727	3791	1416
728	3795	1410
729	3798	1404
730	3802	1399
731	3805	1393
732	3808	1387
733	3812	1381
734	3815	1375
735	3818	1369
736	3821	1363
737	3825	1357
738	3828	1352
739	3831	1346
740	3835	1340
741	3838	1334
742	3841	1328
743	3846	1323
744	3849	1317
745	3852	1311
746	3856	1305
747	3859	1300
748	3862	1294
749	3874	1291
750	3877	1285
751	3881	1279
752	3884	1274
753	3888	1268
754	3890	1262
755	3893	1256
756	3895	1250
757	3898	1244
758	3901	1238
759	3904	1232
760	3917	1230
761	3920	1224
762	3922	1218
763	3924	1212
764	3927	1206
765	3929	1200
766	3934	1195
767	3937	1189
768	3939	1183
769	3942	1177
770	3944	1171
771	3948	1166
772	3952	1160
773	3955	1154
774	3958	1149
775	3961	1143
776	3964	1137
777	3967	1132
778	3970	1126
779	3973	1120
780	3975	1114
781	3978	1108
782	3980	1103
783	3982	1097
784	3985	1091
785	3987	1085
786	3990	1079
787	3992	1074
788	3995	1068
789	3998	1063
790	4002	1057
791	4005	1052
792	4008	1046
793	4011	1040
794	4014	1035
795	4016	1029
796	4019	1023
797	4022	1018
798	4024	1012
799	4027	1006
800	4029	1001
801	4031	995
802	4034	989
803	4036	984
804	4039	978
805	4042	972
806	4044	967
807	4047	961
808	4050	956
809	4053	950
810	4055	945
811	4059	939
812	4062	934
813	4064	928
814	4067	923
815	4070	917
816	4072	912
817	4075	906
818	4078	901
819	4082	896
820	4085	890
821	4088	885
822	4091	879
823	4094	874
824	4097	869
825	4100	863
826	4121	862
827	4127	857
828	4134	852
829	4139	847
830	4145	843
831	4152	838
832	4157	833
833	4163	828
834	4170	824
835	4174	818
836	4180	814
837	4186	809
838	4191	804
839	4196	799
840	4201	794
841	4207	789
842	4212	784
843	4216	779
844	4221	774
845	4237	771
846	4244	766
847	4251	762
848	4269	759
849	4275	754
850	4282	749
851	4287	744
852	4293	739
853	4300	735
854	4305	730
855	4312	725
856	4317	720
857	4322	715
858	4327	710
859	4345	707
860	4350	702
861	4357	697
862	4393	697
863	4399	692
864	4406	687
865	4413	682
866	4423	678
867	4429	673
868	4451	671
869	4457	666
870	4465	661
871	4471	656
872	4478	651
873	4483	646
874	4489	641
875	4496	636
876	4502	631
877	4509	626
878	4515	621
879	4520	616
880	4541	613
881	4547	608
882	4553	603
883	4558	598
884	4564	593
885	4571	588
886	4578	583
887	4584	578
888	4591	573
889	4596	568
890	4602	562
891	4606	557
892	4612	552
893	4616	547
894	4621	542
895	4626	537
896	4631	531
897	4636	526
898	4640	521
899	4645	516
900	4650	510
901	4654	505
902	4657	500
903	4661	495
904	4665	489
905	4669	484
906	4673	479
907	4677	473
908	4680	468
909	4683	463
910	4687	457
911	4690	452
912	4694	447
913	4698	442
914	4701	436
915	4704	431
916	4707	426
917	4711	420
918	4714	415
919	4717	410
920	4720	404
921	4723	399
922	4725	394
923	4728	388
924	4731	383
925	4735	378
926	4738	373
927	4741	367
928	4744	362
929	4747	357
930	4750	352
931	4753	346
932	4756	341
933	4760	336
934	4763	331
935	4765	325
936	4768	320
937	4772	315
938	4775	310
939	4779	305
940	4782	299
941	4785	294
942	4789	289
943	4793	284
944	4796	279
945	4799	273
946	4802	268
947	4806	263
948	4809	258
949	4813	253
950	4816	248
951	4820	243
952	4823	237
953	4826	232
954	4830	227
955	4834	222
956	4838	217
957	4842	212
958	4847	207
959	4850	202
960	4854	197
961	4857	191
962	4866	186
963	4871	181
964	4876	176
965	4880	171
966	4885	166
967	4889	161
968	4894	156
969	4897	151
970	4902	146
971	4906	141
972	4910	136
973	4915	131
974	4920	126
975	4925	121
976	4930	116
977	4934	111
978	4939	105
979	4961	101
980	4967	96
981	4973	91
982	4980	86
983	4991	81
984	4998	76
985	5005	71
986	5010	65
987	5017	60
988	5024	55
989	5028	50
990	5032	45
991	5036	40
992	5040	35
993	5062	30
994	5068	25
995	5075	20
996	5080	15
997	5087	10
998	5092	5
999	5100	0
