iter	RMSE
385	67343.17591
386	67331.37684
387	67314.99844
388	67306.96363
389	67289.60315
390	67282.51952
391	67262.97702
392	67251.03086
393	67243.05621
394	67232.00392
395	67216.41823
396	67207.29503
397	67191.98469
398	67185.53499
399	67180.16128
400	67169.25492
401	67157.45756
402	67148.87591
403	67134.38516
404	67124.52416
405	67101.30933
406	67093.24893
407	67085.78957
408	67062.63687
409	67051.28898
410	67038.32107
411	67031.63436
412	67012.89346
413	66998.3914
414	66992.15711
415	66972.3486
416	66956.18407
417	66943.64406
418	66925.67227
419	66920.53769
420	66902.98234
421	66889.9904
422	66871.76392
423	66865.4875
424	66847.73102
425	66836.55629
426	66825.8861
427	66811.59009
428	66804.35803
429	66795.77759
430	66780.57605
431	66769.1836
432	66764.33297
433	66751.18034
434	66741.14729
435	66718.03578
436	66706.42396
437	66695.01466
438	66682.20548
439	66677.10879
440	66672.67775
441	66666.15313
442	66647.11421
443	66639.74282
444	66614.7101
445	66609.18434
446	66597.00981
447	66586.86651
448	66575.66069
449	66564.04903
450	66555.21447
451	66542.78618
452	66538.15559
453	66532.90062
454	66516.91341
455	66497.30689
456	66485.6282
457	66473.71281
458	66452.92595
459	66434.65317
460	66427.09456
461	66411.95554
462	66393.56512
463	66384.83894
464	66358.77558
465	66352.13935
466	66346.12286
467	66332.75742
468	66324.10963
469	66317.59059
470	66305.34992
471	66295.77316
472	66286.31648
473	66273.01937
474	66262.66815
475	66254.8233
476	66247.81169
477	66238.09674
478	66227.9975
479	66211.37738
480	66200.0751
481	66183.16625
482	66167.90665
483	66156.0378
484	66151.44966
485	66140.91914
486	66131.99961
487	66123.73459
488	66118.9896
489	66108.27757
490	66092.86032
491	66081.46045
492	66068.66985
493	66053.08426
494	66044.62606
495	66034.19045
496	66019.7846
497	66015.61052
498	66006.32777
499	65997.81365
500	65997.4534
501	65990.48822
502	65983.97435
503	65973.94031
504	65966.25807
505	65952.31335
506	65936.26366
507	65922.3242
508	65917.07962
509	65910.86174
510	65905.31356
511	65892.89267
512	65882.27842
513	65875.14913
514	65869.95055
515	65864.34527
516	65851.62812
517	65844.08508
518	65835.10769
519	65828.46083
520	65815.08414
521	65808.80609
522	65804.72441
523	65798.57846
524	65794.34021
525	65770.91664
526	65758.23719
527	65746.36087
528	65733.37709
529	65725.76054
530	65716.15691
531	65704.50985
532	65698.94089
533	65687.01969
534	65680.26852
535	65674.38499
536	65660.81567
537	65646.19349
538	65635.84507
539	65629.28904
540	65619.17583
541	65607.31585
542	65599.31344
543	65589.52857
544	65579.95922
545	65570.57587
546	65555.28733
547	65544.29168
548	65529.79483
549	65522.16498
550	65507.74407
551	65501.9431
552	65492.67763
553	65482.08877
554	65472.97118
555	65459.95377
556	65448.21382
557	65442.18471
558	65432.5902
559	65425.62582
560	65418.32644
561	65407.05756
562	65400.06294
563	65390.34529
564	65381.44988
565	65372.85122
566	65359.25171
567	65347.23839
568	65337.75459
569	65332.70125
570	65324.86064
571	65317.84285
572	65312.2517
573	65299.18257
574	65293.49782
575	65288.46983
576	65271.92378
577	65265.58591
578	65252.71198
579	65232.60147
580	65225.92474
581	65214.75684
582	65199.31332
583	65193.85103
584	65188.20937
585	65184.33254
586	65176.34011
587	65167.64044
588	65153.80654
589	65144.78155
590	65142.38477
591	65131.89965
592	65126.68505
593	65122.72183
594	65119.21656
595	65111.90958
596	65105.09483
597	65099.56839
598	65092.40172
599	65084.34651
600	65078.68163
601	65067.13759
602	65058.92021
603	65053.43632
604	65051.14056
605	65044.78279
606	65034.43311
607	65023.8003
608	65007.97354
609	65003.7841
610	64997.39779
611	64990.57609
612	64979.18862
613	64966.62256
614	64954.63281
615	64942.3132
616	64932.25055
617	64927.0961
618	64921.2127
619	64913.59558
620	64905.74869
621	64902.27635
622	64897.70681
623	64889.84682
624	64885.18125
625	64879.49375
626	64868.63136
627	64853.71033
628	64844.38008
629	64833.57723
630	64819.16907
631	64815.00873
632	64811.2402
633	64804.04854
634	64793.70238
635	64780.4469
636	64772.4722
637	64767.59286
638	64757.47021
639	64751.85848
640	64743.04187
641	64733.60087
642	64727.97115
643	64712.80976
644	64697.06279
645	64686.91329
646	64676.93906
647	64667.02063
648	64656.15074
649	64645.58709
650	64635.62758
651	64629.2641
652	64626.12208
653	64623.01771
654	64618.77669
655	64615.12955
656	64609.84717
657	64599.14386
658	64592.32142
659	64584.3713
660	64574.74952
661	64568.21166
662	64559.37085
663	64555.41408
664	64551.69231
665	64537.51974
666	64531.5796
667	64519.46913
668	64510.67889
669	64504.18492
670	64493.54919
671	64485.49331
672	64482.14601
673	64477.26606
674	64466.3614
675	64461.18974
676	64453.16446
677	64435.1741
678	64419.75326
679	64410.69503
680	64409.00727
681	64403.01246
682	64396.2378
683	64389.50112
684	64377.80442
685	64370.53387
686	64364.73991
687	64355.19728
688	64347.432
689	64341.5576
690	64333.54933
691	64330.52948
692	64321.5297
693	64310.51776
694	64305.83232
695	64301.57949
696	64292.57865
697	64288.76054
698	64281.17959
699	64271.70163
700	64267.51386
701	64265.39217
702	64257.55179
703	64250.98588
704	64243.01165
705	64229.80413
706	64220.84366
707	64208.44957
708	64201.7307
709	64194.68527
710	64191.08337
711	64183.70734
712	64175.14677
713	64168.43405
714	64156.4045
715	64152.9453
716	64148.02396
717	64144.47736
718	64138.98831
719	64132.49774
720	64127.28163
721	64118.35139
722	64114.66651
723	64105.46507
724	64094.16185
725	64087.28515
726	64082.63202
727	64075.01968
728	64062.39157
729	64053.21568
730	64046.81801
731	64040.93678
732	64037.4651
733	64034.53873
734	64018.16646
735	64012.44701
736	64004.61823
737	63999.62572
738	63994.96871
739	63988.34582
740	63978.28091
741	63969.26126
742	63955.4119
743	63947.20821
744	63939.43143
745	63931.62054
746	63918.56459
747	63911.26883
748	63908.88643
749	63896.17573
750	63887.31895
751	63879.17161
752	63874.78204
753	63874.71543
754	63869.42818
755	63860.1058
756	63852.0094
757	63850.30165
758	63843.93761
759	63842.79834
760	63827.72288
761	63821.96537
762	63816.94695
763	63810.73404
764	63800.62811
765	63790.93866
766	63785.84568
767	63784.57074
768	63777.68359
769	63771.92225
770	63765.16946
771	63756.49926
772	63746.68055
773	63742.58278
774	63740.67303
775	63737.96943
776	63730.28084
777	63730.2167
778	63716.38017
779	63708.45387
780	63700.76597
781	63688.44021
782	63684.22036
783	63680.55169
784	63678.50642
785	63676.89038
786	63663.89622
787	63658.77621
788	63652.21383
789	63643.39037
790	63640.19596
791	63634.15215
792	63634.08049
793	63627.65674
794	63615.8903
795	63608.50987
796	63599.17338
797	63591.17299
798	63583.00512
799	63580.11087
800	63574.73334
